Thursday,06,March,2014,22:55:37
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'002,,,,Group B:,'032,,,,Group C:,'115
,,Engine Speed,Engine Load,Injection Timing,Mass Air Flow,,Adaptation (Idle),Adaptation (Partial),Bin. Bits,Bin. Bits,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure
,TIME,(G28),,,Sensor (G70),TIME,Bank 1 Sensor 1,Bank 1 Sensor 1,,,TIME,(G28),,(specified),(actual)
Marker,STAMP, /min,%, ms, g/s,STAMP,%,%,,,STAMP, /min,%, mbar, mbar
,0.30,720,20.3,2.04,2.72,0.60,0.4,-7.0,        ,        ,0.01,720,20.3,990.0,980.0
,1.20,760,20.3,2.04,2.75,1.51,0.4,-7.0,        ,        ,0.90,720,20.3,990.0,980.0
,2.11,760,20.3,1.70,2.75,2.41,0.4,-7.0,        ,        ,1.81,760,21.1,990.0,980.0
,3.01,760,20.3,1.70,2.67,3.31,0.4,-7.0,        ,        ,2.71,720,20.3,990.0,980.0
,3.92,720,20.3,1.70,2.72,4.22,0.4,-7.0,        ,        ,3.62,760,20.3,990.0,980.0
,4.82,720,21.8,2.04,2.86,5.12,0.4,-7.0,        ,        ,4.52,760,21.1,990.0,980.0
,5.73,720,21.1,2.04,2.72,6.03,0.4,-7.0,        ,        ,5.43,720,21.1,990.0,980.0
,6.64,1200,24.1,2.38,5.06,6.93,0.4,-7.0,        ,        ,6.33,1040,28.6,990.0,980.0
,7.54,1040,29.3,2.72,6.94,7.84,0.4,-7.0,        ,        ,7.24,1160,24.1,990.0,980.0
,8.44,1080,41.4,4.08,8.47,8.75,0.4,-7.0,        ,        ,8.14,1000,42.9,990.0,990.0
,9.36,1040,47.4,4.42,9.28,9.65,0.4,-7.0,        ,        ,9.06,1000,43.6,990.0,990.0
,10.26,1520,44.4,3.40,13.06,10.56,0.4,-7.0,        ,        ,9.96,1360,48.1,990.0,1000.0
,11.16,2080,60.2,5.44,24.64,11.47,0.4,-7.0,        ,        ,10.87,1880,45.1,990.0,1010.0
,12.07,2600,30.8,2.38,11.11,12.38,0.4,-7.0,        ,        ,11.77,2520,53.4,990.0,1070.0
,12.98,1840,29.3,2.72,11.11,13.27,0.4,-7.0,        ,        ,12.68,2240,17.3,990.0,1030.0
,13.88,1920,59.4,5.44,23.17,14.19,0.4,-7.0,        ,        ,13.58,1840,49.6,990.0,1000.0
,14.78,2200,45.1,3.74,18.06,15.09,0.4,-7.0,        ,        ,14.49,2120,57.1,990.0,1060.0
,15.69,2360,27.8,2.72,11.50,16.00,0.4,-7.0,        ,        ,15.38,2320,33.8,990.0,1050.0
,16.60,2400,27.1,2.38,11.72,16.90,0.4,-7.0,        ,        ,16.30,2360,26.3,990.0,1010.0
,17.51,2440,29.3,2.72,14.11,17.81,0.4,-7.0,        ,        ,17.19,2440,30.1,990.0,1000.0
,18.41,2640,80.5,7.48,45.28,18.71,0.4,-7.0,        ,        ,18.11,2520,30.1,990.0,1010.0
,19.32,3240,131.6,12.58,97.81,19.63,0.4,-7.0,        ,        ,19.01,3000,110.5,1790.0,1360.0
,20.22,4200,160.9,14.96,124.81,20.52,0.4,-7.0,        ,        ,19.92,3880,167.7,1860.0,2040.0
,21.13,5200,154.1,14.28,149.53,21.43,0.4,-7.0,        ,        ,20.82,4800,151.1,1860.0,1880.0
,22.03,5960,156.4,14.96,173.97,22.33,0.4,-7.0,        ,        ,21.73,5640,154.1,1930.0,1900.0
,22.95,6480,74.4,5.44,72.61,23.25,0.4,-7.0,        ,        ,22.63,6400,134.6,1790.0,1810.0
,23.84,5880,14.3,0.00,14.44,24.14,0.4,-7.0,        ,        ,23.55,6080,14.3,990.0,1180.0
,24.75,5120,12.0,0.00,12.03,25.05,0.4,-7.0,        ,        ,24.44,5360,12.8,990.0,1060.0
,25.64,4400,12.0,0.00,10.42,25.95,0.4,-7.0,        ,        ,25.35,4600,12.8,990.0,1020.0
,26.56,3840,12.8,0.00,9.53,26.86,0.4,-7.0,        ,        ,26.24,4000,12.0,990.0,1020.0
,27.46,3240,14.3,0.00,9.11,27.75,0.4,-7.0,        ,        ,27.16,3440,13.5,990.0,1010.0
,28.36,2760,13.5,0.00,7.14,28.67,0.4,-7.0,        ,        ,28.06,2880,13.5,990.0,1010.0
,29.26,2280,13.5,0.00,5.75,29.56,0.4,-7.0,        ,        ,28.96,2400,12.8,990.0,1010.0
,30.18,1840,13.5,0.00,4.81,30.47,0.4,-7.0,        ,        ,29.86,2000,13.5,990.0,1010.0
,31.07,1160,16.5,1.36,3.64,31.37,0.4,-7.0,        ,        ,30.78,1280,15.8,990.0,1000.0
,31.98,920,17.3,1.70,3.31,32.28,0.4,-7.0,        ,        ,31.68,1000,16.5,990.0,990.0
,32.88,760,18.0,2.04,2.81,33.18,0.4,-7.0,        ,        ,32.58,840,18.0,990.0,990.0
,33.79,720,18.0,2.04,2.72,34.10,0.4,-7.0,        ,        ,33.49,760,18.0,990.0,990.0
,34.69,720,19.5,2.04,2.78,34.99,0.4,-7.0,        ,        ,34.39,720,18.8,990.0,990.0
,35.60,720,19.5,2.04,2.89,35.90,0.4,-7.0,        ,        ,35.30,720,20.3,990.0,990.0
,36.50,720,20.3,2.04,2.97,36.80,0.4,-7.0,        ,        ,36.21,720,20.3,990.0,980.0
,37.41,760,20.3,2.04,3.00,37.71,0.4,-7.0,        ,        ,37.12,720,20.3,990.0,980.0
,38.31,720,20.3,2.04,3.00,38.62,0.4,-7.0,        ,        ,38.01,760,20.3,990.0,980.0
,39.22,720,20.3,2.04,2.97,39.52,0.4,-7.0,        ,        ,38.92,760,20.3,990.0,980.0
,40.12,720,20.3,2.04,2.92,40.42,0.4,-7.0,        ,        ,39.82,720,20.3,990.0,980.0
,41.04,720,20.3,2.04,3.03,41.33,0.4,-7.0,        ,        ,40.73,720,20.3,990.0,980.0
,41.94,720,20.3,2.04,3.00,42.24,0.4,-7.0,        ,        ,41.63,760,20.3,990.0,980.0
,42.84,720,20.3,2.04,2.97,43.14,0.4,-7.0,        ,        ,42.54,720,20.3,990.0,980.0
